,net_weight,day,material,supplier,year,nro,psd_mesh12,psd_mesh16,psd_mesh20,psd_mesh40,psd_mesh80,psd_mesh100,psd_mesh200,psd_meshPAN
0,32.275578454950875,1,sand,SC,2020,1,2.5794289674274755,9.216163158915219,11.801538191692602,13.517472138729161,25.457443303868846,16.233478229065362,2.984549092993617,18.20992691730772
1,33.06835658316977,1,sand,SC,2020,2,3.2645657210138674,7.444012453051678,13.30561205045191,14.841842395331357,23.592832283701487,16.645130466306544,3.918889562010441,16.987115068132713
2,32.63754929544255,1,sand,SC,2020,3,4.367579176462866,10.168221165311085,12.06775034498995,12.226618120549565,24.380439596223777,17.51844065912539,2.5703414208658764,16.7006095164715
3,33.36658666582814,1,sand,SC,2020,4,5.754980091998088,9.085246881827004,12.08551963010784,13.652659530485423,24.459021249378406,18.37082081353305,4.603766853401696,11.987984949268485
4,32.65919370202931,1,sand,SC,2020,5,4.184484895626335,9.576930807994655,13.246179504311629,12.15873340131572,24.51326596581355,13.669827830660266,3.171930296050789,19.478647298227045
5,33.03131772860578,1,sand,SC,2020,6,3.977686413399348,8.565952759931603,11.759581376289274,11.945704988531649,24.232151036831933,16.611677011533782,4.156956940917269,18.750289472565132
6,32.28141357234735,1,sand,SC,2020,7,3.5314697554308703,6.832650008062842,12.090016314518452,13.972028537042501,27.079812178411913,17.920488855490262,4.384742126423134,14.188792224620016
7,32.99697888491349,1,sand,SC,2020,8,4.0677088854662555,9.269034720629005,12.80033890595535,14.108366917585686,23.56438146988167,16.54417403671046,4.900657595235406,14.74533746853616
8,32.64296554666474,1,sand,SC,2020,9,3.8374475453588826,9.018554006311351,13.099180119095237,13.511460076527241,27.837654912343584,17.486179486576937,3.2801294228941584,11.92939443089261
9,33.0993564941689,1,sand,SC,2020,10,4.173661915740965,10.654906145743794,12.204153979545154,13.3428694669415,24.58908519801061,17.39247416984926,3.9063533418269367,13.736495782341773
0,33.39000678910103,2,sand,SC,2020,1,4.417965374039117,8.673328788460443,10.168567308210424,11.842595277626298,23.63900924172728,14.869472451097655,3.3647649997019404,23.024296559136843
1,32.97768052420701,2,sand,SC,2020,2,3.2948779408502475,8.36479419258571,11.816152146790863,14.023017453174248,25.451457805297846,16.73015141910386,3.429892294414625,16.889656747782603
2,33.06849829524465,2,sand,SC,2020,3,3.8139748434902074,8.902600270258128,13.561404400457723,13.798400299617288,26.934380238995082,16.98385903392953,2.9907445662574905,13.01463634699456
3,32.32924903952221,2,sand,SC,2020,4,2.0890014084671735,6.58672683583641,14.690195629103172,13.006747382134442,25.11367919524948,15.430849416722713,2.360194691642601,20.722605440844003
4,32.58953951888762,2,sand,SC,2020,5,4.397222608225856,6.719035233660606,13.394350189083,13.046598850503852,24.32656199407572,18.511056396213345,3.6158480037549325,15.989326724482686
