,net_weight,day,material,supplier,year,nro,psd_mesh12,psd_mesh16,psd_mesh20,psd_mesh40,psd_mesh80,psd_mesh100,psd_mesh200,psd_meshPAN
0,32.34279164092642,1,sand,SC,2019,1,4.440685730906619,8.443342295523879,12.90785621197351,13.306856280187628,23.311419208505576,18.891030164217558,3.1777163859731723,15.521093722712054
1,32.93262041752354,1,sand,SC,2019,2,3.1304401763810277,8.810467592463525,11.030734101681345,12.959873805371025,24.931145187612977,14.947622104691067,2.7435408358775373,21.446176195921502
2,33.48270419896506,1,sand,SC,2019,3,3.9567571121122294,9.092920101867803,12.78509156430794,11.219919359550223,24.940974163526782,15.668275650363439,2.3958410571196618,19.94022099115191
3,32.7643246797003,1,sand,SC,2019,4,3.645073887648026,8.548166721305883,12.292274030862991,12.604800980234241,23.693060347117118,15.249206993338872,4.250652331401688,19.716764708091176
4,32.996948462474386,1,sand,SC,2019,5,5.0474245067673715,9.844085276330542,12.874678788564765,11.813087990300243,24.809729752672073,15.395449412830398,4.11879946880996,16.096744803724643
5,33.00068191300495,1,sand,SC,2019,6,2.787932568522257,10.860922174616153,13.191322366710134,11.919686583490954,23.052043254985055,16.13671735969602,3.9441787584561423,18.107196933523287
6,33.73325422035859,1,sand,SC,2019,7,4.537014281002417,9.191126580579422,12.64541511719257,11.465315263115079,26.60866665455617,15.555179391514205,4.022575745305899,15.974706966734244
7,33.62557455424923,1,sand,SC,2019,8,4.524931393368804,9.065288299555535,11.650033291864396,12.654193176621845,25.324107781451666,13.585175387773784,4.330365488100319,18.86590518126366
8,33.0993196343943,1,sand,SC,2019,9,3.440331824298522,9.437504814640342,11.366010909028104,13.489447859711516,24.831832431800986,15.139071505107447,3.553259528699269,18.7425411267138
9,32.404750878124524,1,sand,SC,2019,10,4.16701824018257,10.5167536382627,10.382247135776831,11.812987654028486,24.79582326848705,17.82672348620571,2.605992301064936,17.8924542759917
0,33.14577589639302,2,sand,SC,2019,1,4.237222707737223,10.162798240883621,13.162107887655178,12.24169358485137,23.588407874518598,16.985964476411297,3.7579942037245946,15.863811024218121
1,32.407949627186575,2,sand,SC,2019,2,4.181154311375339,8.848084318835557,12.24048487347128,13.899503934374579,25.857764585212312,17.77309738082087,3.3911946959648405,13.808715899945229
2,33.30949034925041,2,sand,SC,2019,3,4.012438094294861,8.334251523455269,12.520774905438682,13.175592611464504,26.00653441659731,15.674077164273665,4.156960514353758,16.119370770121947
3,33.062090810326616,2,sand,SC,2019,4,4.055423093612418,9.571758806239394,13.14861084233978,14.14958149917333,26.388031988579193,15.996788275312888,4.642060169907248,12.047745324835743
4,33.583963429120764,2,sand,SC,2019,5,3.9971476850366736,8.31755997671958,11.96995393718888,13.069564404041955,24.104692405111535,16.59050726089911,3.7451594506355743,18.20541488036669
5,33.91267042758183,2,sand,SC,2019,6,2.472385264376531,8.339437841634467,12.502820965471768,14.647588961156886,23.768471309318414,16.790137828462257,3.2975885220792622,18.18156930750042
6,33.315980337816185,2,sand,SC,2019,7,3.6943808665496,8.342132782856806,12.164251624345635,13.413163174920248,24.820167280495973,16.434881521805877,3.0536034384776007,18.077419310548258
7,32.07002053518264,2,sand,SC,2019,8,3.567615966712382,9.358509611702791,12.94142658999247,12.667174940782226,25.378483105197898,17.514603502652875,2.855739967897762,15.716446315061603
8,33.656771246264135,2,sand,SC,2019,9,4.106288570742091,8.755899496920277,13.543109950658785,11.96889431617816,25.699551921049697,14.855457001475518,3.69211563853338,17.378683104442086
9,33.53060008285059,2,sand,SC,2019,10,4.901986091225519,8.05690562946921,12.556641805924682,14.842295580168175,26.720609735041464,14.77676192050213,3.4155318849625784,14.729267352706227
0,32.986016218710155,3,sand,SC,2019,1,3.5868118996032674,7.692663796630618,12.98630360996455,10.951656992679082,25.136524599481273,16.019527707471116,3.0322835568310174,20.594227837339087
1,33.11780861702471,3,sand,SC,2019,2,2.789349703676696,9.622718335743583,13.419072548252835,13.525723847237519,26.40882443598607,15.622577808135308,2.5539146865740534,16.05781863439395
2,32.83691206943313,3,sand,SC,2019,3,3.086850030003945,9.79783144003147,12.625084253963859,10.807774775168005,25.832416835531976,14.557633742636746,2.7596213851288955,20.532787537535093
3,33.17011392007777,3,sand,SC,2019,4,4.692513483552306,7.016954307891968,13.601763221807559,13.087829012246225,24.154086593286014,18.218436527676573,3.3334585418013387,15.89495831173802
4,32.93174057371526,3,sand,SC,2019,5,3.9621159343062597,8.325644490573769,13.543960367937126,12.022383100179567,27.10316016920336,15.549874872602468,2.773879235694783,16.71898182950267
5,32.95541329683718,3,sand,SC,2019,6,3.633232311090569,8.921633686410976,11.924324865045342,12.324531598712431,26.951406970110373,15.659803177116999,3.944921856908733,16.64014553460457
6,32.246167124121065,3,sand,SC,2019,7,3.727888867700516,10.545047269369459,12.532603498476313,14.161088562922469,26.75392190546989,15.911453219912863,2.1924044617573015,14.17559221439117
7,33.5951561391561,3,sand,SC,2019,8,2.579042630497813,7.229873808779803,11.111083436947222,13.303005659234078,26.34215210666558,17.3971825838614,3.796529174682695,18.241130599331413
8,32.6504870406814,3,sand,SC,2019,9,3.7228650857932966,8.963541464295853,10.467370351251347,11.6154035654004,26.02393441068685,14.763850344965388,3.151663224981541,21.291371552625318
9,32.9017059657788,3,sand,SC,2019,10,3.337352134068764,10.59742850027396,12.294406155687277,15.087100613390337,23.828030761330655,15.636896386447292,3.8365321473182448,15.382253301483466
0,32.90072200186071,4,sand,SC,2019,1,4.161580573762266,8.85814185387783,13.795820028838325,14.549797037931985,23.001739710354805,15.064852417351762,3.4532773117916884,17.114791066091353
1,33.580680831396144,4,sand,SC,2019,2,2.6481426732376874,9.07610387970356,12.17763058980432,14.00168772493959,25.17048770527093,15.482186425849434,3.6811846475238825,17.762576353670593
2,33.19299906554307,4,sand,SC,2019,3,3.9878851503796358,7.362873314485362,13.51246412878451,12.609506175318451,24.459958233124578,13.978217603593755,3.838045367222434,20.251050027091274
3,33.07477937911682,4,sand,SC,2019,4,4.953408342729168,8.193139494566736,10.685035271457059,13.475773609254546,25.028801372754522,16.46626329208562,2.960401250961152,18.237177366191208
4,32.80971362000651,4,sand,SC,2019,5,4.795091962477088,6.6429422719775815,12.789672038051824,12.167889696465895,23.827282848167833,16.436792660545734,4.376578324141614,18.96375019817243
5,33.80730327827146,4,sand,SC,2019,6,3.554924341666098,10.319839849948202,12.00929273128533,13.903069107433549,25.893409734773563,17.53769655501209,4.227361464069274,12.55440621581189
6,33.43751683017042,4,sand,SC,2019,7,3.0904911647168567,7.0342052315857915,12.279636072463752,11.21300924460205,24.233242556705363,15.742111737226622,4.028049538472312,22.379254454227254
7,33.25059565688666,4,sand,SC,2019,8,4.766614688461823,9.316460107084358,13.149178372930827,15.252105063987361,25.992892375920373,15.983212404587801,2.7214186959823268,12.818118291045138
8,32.353591580232695,4,sand,SC,2019,9,3.682354314350725,8.857334131809335,12.75115165411296,14.10719049230882,22.216685658756262,14.934394081816222,3.1418049149561615,20.309084751889507
9,33.172696560965264,4,sand,SC,2019,10,3.1478382856042795,11.19451732221493,14.882750639823392,13.931964009646354,24.505587090529907,17.47079303089546,3.06378663542228,11.802762985863401
0,32.930561610454234,5,sand,SC,2019,1,3.9952452890972205,8.825802661363364,12.339241794608267,11.560185885132977,24.06120169829236,16.67079697129558,3.1798315637020784,19.36769413650813
1,32.70229998408165,5,sand,SC,2019,2,4.80205162390378,10.003505153743479,14.509597068933083,11.465512953685812,25.82006351339234,15.775404027604804,2.949392395444554,14.67447326329216
2,33.47086985470227,5,sand,SC,2019,3,3.052327403757505,9.393036729697206,12.900235108567227,14.165892448118788,27.28338917315022,14.863236790364736,3.4855051999856235,14.856377146358696
3,32.83205165537066,5,sand,SC,2019,4,4.06595756283529,9.92120135652221,12.679560616885183,11.507034848290964,25.009040432231618,17.962169901969233,2.4664708333046743,16.38856444796081
4,33.07828520364167,5,sand,SC,2019,5,5.575701684664682,7.1407757434720995,12.597433496303903,12.334372128771278,26.40810071316381,18.46864908972855,2.5427836872593614,14.932183456636306
5,32.8981166784511,5,sand,SC,2019,6,2.303671066523725,7.674785095836927,13.435399901978109,13.058639888102347,24.59259493239889,15.852056364137859,4.140893407537499,18.941959343484662
6,33.24302067510324,5,sand,SC,2019,7,2.8751221301079615,8.147737249257927,11.828893145528195,10.450371158528547,24.485640211054253,16.610784888540056,3.7048575285148098,21.89659368846823
7,32.94276040903384,5,sand,SC,2019,8,4.688317236181457,11.431153028230948,12.726881711479717,10.990179125278157,25.509304277311344,16.078745313486404,3.0237111482972017,15.551708159734755
8,32.5888083340554,5,sand,SC,2019,9,3.927007510236846,9.543100156070293,12.764577168617217,11.8260110187048,26.052794479534022,14.390317284217621,2.738740221003,18.757452161616186
9,33.67956500723935,5,sand,SC,2019,10,3.6049006381523716,9.592265840553988,11.856034418112861,13.631863961815256,24.952101975718243,16.65874036987507,3.946438525812092,15.75765426996012
0,33.04933698358426,6,sand,SC,2019,1,3.782073847959291,9.252175013816895,11.46684611298167,14.244879323657269,24.271132121993293,18.441664030667454,3.1631511672459474,15.378078381678174
1,33.667947912664935,6,sand,SC,2019,2,4.252829826760149,8.264820258619594,12.231609437736822,11.310329119884631,24.164720332565516,17.65279992069349,2.730514342875824,19.39237676086398
2,33.03074961359292,6,sand,SC,2019,3,2.928262621492385,7.951722503898088,11.45879344849866,15.681378858919642,23.69488881579201,14.216473555228625,2.6768232717650142,21.391656924405577
3,33.30747495108088,6,sand,SC,2019,4,3.448390335867069,8.84476612597383,13.347957074010775,11.64691470448587,25.134395581858655,14.665877227421063,2.906520763982096,20.005178186400634
4,33.70187131351173,6,sand,SC,2019,5,4.026677256406675,9.324186057125129,12.971171667820283,13.154499645052521,25.276855903574884,18.80073352453771,3.5110886361170555,12.934787309365738
5,32.98576222940732,6,sand,SC,2019,6,3.983398824554289,10.023729993942869,14.75401494658902,12.478895719554984,25.1877218730116,14.547300710570232,3.7076103693225657,15.317327562454444
6,32.513771618569685,6,sand,SC,2019,7,4.957977210778031,8.493805342357732,12.128443641876968,10.353232831591999,25.408632934957048,18.565926789855737,3.296709443340333,16.79527180524216
7,32.95645696436632,6,sand,SC,2019,8,4.299030252338341,9.73380353762706,14.692748975983804,14.259933336593868,23.431401066568284,17.682399522150217,3.1534859078734954,12.747197400864938
8,33.12254281560019,6,sand,SC,2019,9,2.4737811409014863,7.862924006184949,14.469904534227606,12.159240073794718,27.142898967260866,14.588600769510865,2.682150611936699,18.62049989618281
9,32.767442299074354,6,sand,SC,2019,10,3.760507864788268,9.065419719605636,14.16221380463103,15.31018080690726,25.76981797760699,15.27663728548119,2.9894238016057493,13.66579873937389
0,33.26917971503955,7,sand,SC,2019,1,4.9355993033119185,9.016159698908918,13.641308669318793,14.907678695472985,24.327684410740225,14.9997313968728,2.537267456195439,15.634570369178926
1,33.58059792729174,7,sand,SC,2019,2,2.954517042753008,10.05135460035262,13.158678045867344,13.002428101964727,24.625358280307,16.131822917844268,4.007103085625607,16.06873792528542
2,33.702923616496705,7,sand,SC,2019,3,4.386373763987673,9.320124916976711,13.720770479206102,14.853661861282461,24.623481666552735,17.20726979781172,3.3247732932510403,12.563544220931563
3,32.61074954119707,7,sand,SC,2019,4,3.6913158947066504,6.3583384196782085,11.632338133388584,12.300404208642764,24.014061522747546,15.722149464198749,2.4453595641502694,23.836032792487234
4,32.776451196708706,7,sand,SC,2019,5,3.798724066866874,9.311946153881923,10.945606708866702,13.237833226860161,24.46558865756165,16.593406646098853,4.698863219054473,16.948031320809367
5,33.380461926068435,7,sand,SC,2019,6,2.258710460169452,10.381765790379822,11.742492864890801,12.858607873329289,24.993381676834172,15.313615634599804,2.9117936903827597,19.539632009413893
6,32.819329463024395,7,sand,SC,2019,7,5.414474637847949,8.352338660256436,11.277829320878142,12.728827690337111,23.78775726055213,16.22263954245203,4.7194041185542845,17.496728769121926
7,33.26017335390404,7,sand,SC,2019,8,2.0368702998957926,9.704374246044193,12.661017006272925,13.560150298907049,24.029882936924295,15.322972013773466,3.898012435525165,18.786720762657108
8,32.64214868037218,7,sand,SC,2019,9,2.6558936832441917,8.739994127836917,11.968508807899399,15.693472804392014,25.69311711208671,14.734200707806641,3.3627474355057947,17.152065321228328
9,33.04536109716817,7,sand,SC,2019,10,4.3641470693079665,9.04370768464932,13.813553872974365,13.293044593968268,24.62887183489389,16.587122975665483,4.317617450005613,13.951934518535094
0,33.23035262108752,8,sand,SC,2019,1,3.9884508902317655,6.531688819556395,12.883952165374852,13.572736907201405,25.869659327012933,15.726131521662127,2.781073149163717,18.646307219796817
1,33.13780557887863,8,sand,SC,2019,2,4.0915036350097695,10.112547891847438,12.087983937304026,13.295605200679509,25.015181447990617,17.030109164886476,4.0618580425935304,14.305210679688617
2,33.60170050108476,8,sand,SC,2019,3,4.800715099353503,8.336024967854529,12.900104278481018,12.856126172427512,24.545440633508868,15.877280005090217,3.3612817536118014,17.323027089672557
3,33.187021036814144,8,sand,SC,2019,4,3.0782188532067427,9.901758576641413,13.664566749101281,13.40199978071931,22.953844081862183,16.688498843758552,2.497316012764651,17.81379710194586
