,net_weight,day,material,supplier,year,nro,psd_mesh12,psd_mesh16,psd_mesh20,psd_mesh40,psd_mesh80,psd_mesh100,psd_mesh200,psd_meshPAN
0,32.71316154855816,1,sand,SC,2018,1,4.278036596315981,7.0853660891255075,12.549630222270794,14.776487549086522,26.216211127218642,17.460495988416678,3.6280747820906356,14.00569764547524
1,32.19160542934601,1,sand,SC,2018,2,3.8142184475185443,9.087434541538729,12.152999562141991,14.270765005890713,23.445755974085962,18.11383505560433,3.3992622378238524,15.715729175395893
2,32.66016801018487,1,sand,SC,2018,3,3.9212573467786758,10.163706811229732,10.850800057006827,10.568302748019331,23.040192736342412,16.53266619123385,4.028193518589492,20.894880590799684
3,32.85760951607165,1,sand,SC,2018,4,4.411330341545061,10.969884273559124,12.674102601144178,12.951311742816861,27.274619802718263,17.434618665582708,2.888759102929347,11.39537346970445
4,33.199518934162896,1,sand,SC,2018,5,3.778593338411442,9.502069307940069,13.05418454843631,12.77177933067756,24.743419338215567,17.384847577606216,3.8739057674365998,14.89120079127623
5,32.9543881150233,1,sand,SC,2018,6,4.145303476905424,10.311208110532942,13.082543453982735,14.313752708167655,25.61510107635905,14.072354002500086,4.384839681021146,14.074897490530955
6,33.64904937260864,1,sand,SC,2018,7,3.8268755418148754,8.514975667390805,11.735568151255322,13.62877356311097,26.82376621600173,17.501250407730957,3.4213903731186295,14.547400079576722
7,33.276316849116206,1,sand,SC,2018,8,4.921886361069741,10.108491329271668,13.950434635882052,12.42777740196192,25.450477734750155,15.863122405261294,4.618946093809959,12.658864037993219
8,33.223511897340146,1,sand,SC,2018,9,3.1830242674749227,9.321386012941678,12.867198635054033,13.396222337458642,26.04481506082114,14.719133628942359,2.880867070467278,17.587352986839957
9,32.918361981780045,1,sand,SC,2018,10,3.4868539329691597,8.11503824887323,14.617836575999636,13.963861361181936,24.942043292335224,15.278255595198033,3.253378158102299,16.34273283534049
0,33.44309750408384,2,sand,SC,2018,1,3.697211777188813,9.35774836152389,12.650605107294354,11.309785395117778,25.732160770004775,16.293786130398516,4.185824825881511,16.772877632590365
1,32.94683354576516,2,sand,SC,2018,2,3.4387501624908654,8.536592444570315,11.68809492095492,15.588693059908389,26.12952199732262,13.92098466389742,4.00207069794899,16.695292052906478
